company_name,rating,bio,salary,job,founded_in,field,other
EXL Service,3.6,Analytics & KPO | Mumbai +63 other locations,44100.0,1400.0,,Analytics & KPO,Mumbai +63 other locations
Cipla,4.1,Pharma | Mumbai +291 other locations,26000.0,69.0,1935 (91 yrs old),Pharma,Mumbai +291 other locations
Samsung,3.9,Consumer Electronics & Appliances | Mumbai +578 other locations,26300.0,28.0,1969 (57 yrs old),Consumer Electronics & Appliances,Mumbai +578 other locations
Ericsson,3.9,Telecom | Mumbai +162 other locations,42600.0,67.0,,Telecom,Mumbai +162 other locations
Wells Fargo,3.7,Financial Services | Mumbai +28 other locations,55200.0,174.0,,Financial Services,Mumbai +28 other locations
Dr. Reddy's,4.0,Pharma | Mumbai +213 other locations,24000.0,77.0,,Pharma,Mumbai +213 other locations
Optum Global Solutions,4.0,IT Services & Consulting | Mumbai +68 other locations,48400.0,76.0,2002 (24 yrs old),IT Services & Consulting,Mumbai +68 other locations
Delhivery,3.8,Logistics | Mumbai +751 other locations,21200.0,171.0,2011 (15 yrs old),Logistics,Mumbai +751 other locations
ICICI Prudential Life Insurance,4.0,Insurance | Mumbai +505 other locations,22900.0,507.0,2000 (26 yrs old),Insurance,Mumbai +505 other locations
JPMorgan Chase & Co.,3.8,Financial Services | Mumbai +55 other locations,24000.0,77.0,,Financial Services,Mumbai +55 other locations
JSW Steel,3.9,Iron & Steel | Mumbai +193 other locations,30300.0,105.0,1982 (44 yrs old),Iron & Steel,Mumbai +193 other locations
HGS,3.7,BPO | Mumbai +121 other locations,20900.0,19.0,2000 (26 yrs old),BPO,Mumbai +121 other locations
Jana Small Finance Bank,3.8,Banking | Mumbai +419 other locations,14100.0,55.0,2006 (20 yrs old),Banking,Mumbai +419 other locations
Sun Pharmaceutical Industries,4.1,Pharma | Mumbai +264 other locations,23400.0,289.0,,Pharma,Mumbai +264 other locations
Ujjivan Small Finance Bank,4.0,Banking | Mumbai +533 other locations,13000.0,138.0,2017 (9 yrs old),Banking,Mumbai +533 other locations
Amazon Development Centre India,3.8,Internet | Mumbai +146 other locations,24000.0,77.0,,Internet,Mumbai +146 other locations
Hexaware Technologies,3.4,IT Services & Consulting | Mumbai +67 other locations,53200.0,592.0,1990 (36 yrs old),IT Services & Consulting,Mumbai +67 other locations
Lupin,4.1,Pharma | Mumbai +202 other locations,22500.0,32.0,,Pharma,Mumbai +202 other locations
L&T Construction,4.0,Engineering & Construction | Mumbai +433 other locations,24000.0,77.0,,Engineering & Construction,Mumbai +433 other locations
Zydus Lifesciences,3.9,Pharma | Mumbai +176 other locations,19900.0,20.0,1952 (74 yrs old),Pharma,Mumbai +176 other locations
Ekart Logistics,3.9,Logistics | Mumbai +736 other locations,15800.0,77.0,2009 (17 yrs old),Logistics,Mumbai +736 other locations
Hindustan Unilever,4.2,FMCG | Mumbai +531 other locations,20000.0,41.0,1872 (154 yrs old),FMCG,Mumbai +531 other locations
KPMG India,3.4,Management Consulting | Mumbai +111 other locations,64500.0,56.0,1993 (33 yrs old),Management Consulting,Mumbai +111 other locations
ITC,3.9,FMCG | Mumbai +375 other locations,24400.0,76.0,1910 (116 yrs old),FMCG,Mumbai +375 other locations
Axis Max Life Insurance,4.0,Insurance | Mumbai +494 other locations,20000.0,144.0,2000 (26 yrs old),Insurance,Mumbai +494 other locations
Megha Engineering & Infrastructures,3.9,Engineering & Construction | Mumbai +405 other locations,24000.0,77.0,,Engineering & Construction,Mumbai +405 other locations
